report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
82aa5263-34b2-4c83-9dc5-11ef9115dedd,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,worker observed not wearing safety glasses at unit b.,{},NO,Working at Height,LOW,stopped work,colleague intervened,,,
480f8dc3-261a-46ad-b4c3-a1259729f5c5,Unsafe Act,,Unit A,,Valve,Line opened with residual pressure on the Valve. High-energy release narrowly missed the operator.,line opened with residual pressure on the valve. high-energy release narrowly missed the operator.,{},YES,Energy Isolation,CRITICAL,reported to supervisor,,replaced equipment,retrained staff,True
0ae3d5a9-66dd-40fa-a448-89abe234301f,Unsafe Act,,Unit B,,Compressor,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,worker used incorrect gloves for manual handling task. supervisor corrected the action.,{},NO,Energy Isolation,LOW,,supervisor intervened,replaced equipment,updated procedures,
44296dba-c7a6-40f3-9a3a-c6cfa7c000bd,Unsafe Act,,Offshore Platform 1,,Pump,Worker observed not wearing safety glasses at Offshore Platform 1.,worker observed not wearing safety glasses at offshore platform 1.,{},NO,Slips/Trips,LOW,reported to supervisor,supervisor intervened,,,True
6bb1bbba-991d-4eae-b6fc-29c9a932258a,Unsafe Act,,Refinery Sector 4,,Compressor,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,small oil spill near compressor at refinery sector 4. cleaned up promptly.,{},NO,Manual Handling,LOW,,colleague intervened,,,True
eff95fd7-f19b-4629-a549-e6c200121bdd,Unsafe Act,,Unit A,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,trip hazard due to loose cables near electrical panel. cables were immediately organized.,{},NO,Electrical,LOW,,,,updated procedures,False
e494d840-1fa0-4ebe-a49a-f0b07147d073,Unsafe Act,,Refinery Sector 4,,Compressor,Worker observed not wearing safety glasses at Refinery Sector 4.,worker observed not wearing safety glasses at refinery sector 4.,{},NO,Energy Isolation,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
70bcbda1-4b98-4910-ac61-c3181144030a,Unsafe Act,,Unit B,,Compressor,"While working at Unit B, worker was at height without fall protection. Serious risk of fatal fall.","while working at unit b, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Confined Space,CRITICAL,reported to supervisor,supervisor intervened,cleaned up,retrained staff,False
ba28f3fd-97a6-47db-a6cd-d5c8d3b0027c,Unsafe Act,,Refinery Sector 4,,Electrical Panel,Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,line opened with residual pressure on the electrical panel. high-energy release narrowly missed the operator.,{},YES,Energy Isolation,HIGH,reported to supervisor,,,updated procedures,True
dd0eae3d-8a7f-4ac5-8e16-b0cda42d56e1,Unsafe Condition,,Unit A,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,trip hazard due to loose cables near valve. cables were immediately organized.,{},NO,Energy Isolation,LOW,stopped work,colleague intervened,,,False
15ac57fe-247f-4922-9db2-b02107c285d1,Unsafe Act,,Unit B,,Electrical Panel,Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,small oil spill near electrical panel at unit b. cleaned up promptly.,{},NO,Working at Height,LOW,,colleague intervened,replaced equipment,,
0fe06c46-82f8-4ddf-a5ce-71edd2ea391c,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,small oil spill near heat exchanger at refinery sector 4. cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,updated procedures,
8ab3305c-ed6f-44fe-9aed-00ca0385ce30,Unsafe Condition,,Refinery Sector 4,,Electrical Panel,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,small oil spill near electrical panel at refinery sector 4. cleaned up promptly.,{},NO,Pressure,LOW,stopped work,supervisor intervened,,retrained staff,True
62dcf83a-e6c9-4634-bff2-14b1d04df12a,Unsafe Condition,,Unit B,,Compressor,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,trip hazard due to loose cables near compressor. cables were immediately organized.,{},NO,Slips/Trips,MEDIUM,reported to supervisor,,,updated procedures,
f544b43a-a9db-4e5a-8529-ccf48d5cc182,Unsafe Act,,Offshore Platform 1,,Valve,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,small oil spill near valve at offshore platform 1. cleaned up promptly.,{},NO,Working at Height,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
2f0058b7-af40-494f-85f0-93ed13acefe9,Unsafe Condition,,Unit A,,Compressor,,,{},NO,Confined Space,MEDIUM,,,,updated procedures,True
0434f3e1-5541-497c-b829-c702c972c492,Unsafe Condition,,Refinery Sector 4,,Valve,Small oil spill near Valve at Refinery Sector 4. Cleaned up promptly.,small oil spill near valve at refinery sector 4. cleaned up promptly.,{},NO,Working at Height,MEDIUM,stopped work,colleague intervened,cleaned up,retrained staff,False
83086fcd-fe9c-4d6f-8771-bcd4021a5b6c,Unsafe Act,,Unit B,,Compressor,Small oil spill near Compressor at Unit B. Cleaned up promptly.,small oil spill near compressor at unit b. cleaned up promptly.,{},NO,Confined Space,MEDIUM,reported to supervisor,,cleaned up,,True
a46e110e-ec35-4a61-9ed3-d11d28fe09d2,Near Miss,,Refinery Sector 4,,Compressor,"During maintenance of the Compressor at Refinery Sector 4, the technician started work without isolating the equipment. The Compressor was still energized.","during maintenance of the compressor at refinery sector 4, the technician started work without isolating the equipment. the compressor was still energized.",{},YES,Working at Height,CRITICAL,reported to supervisor,supervisor intervened,replaced equipment,,False
311580b9-a189-45a3-9aaa-b4904a1578b0,Unsafe Act,,Unit A,,Valve,Small oil spill near Valve at Unit A. Cleaned up promptly.,small oil spill near valve at unit a. cleaned up promptly.,{},NO,Pressure,MEDIUM,,,,retrained staff,True
55bc1503-5730-4e17-8376-194b3c70fab3,Unsafe Condition,,Unit A,,Pump,Trip hazard due to loose cables near Pump. Cables were immediately organized.,trip hazard due to loose cables near pump. cables were immediately organized.,{},NO,Slips/Trips,LOW,,,,retrained staff,True
8c375ad8-fb86-4163-bf4a-4956ea8f4047,Unsafe Condition,,Unit B,,Heat Exchanger,Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,small oil spill near heat exchanger at unit b. cleaned up promptly.,{},NO,Working at Height,MEDIUM,reported to supervisor,colleague intervened,cleaned up,,
ed9ec8e3-ec92-40c0-8616-0066bd8f319f,Unsafe Condition,,Unit A,,Electrical Panel,Worker observed not wearing safety glasses at Unit A.,worker observed not wearing safety glasses at unit a.,{},NO,Electrical,MEDIUM,,colleague intervened,replaced equipment,updated procedures,False
db9e297d-a8f9-42e2-be44-e61b2076c725,Unsafe Condition,,Offshore Platform 1,,Heat Exchanger,Small oil spill near Heat Exchanger at Offshore Platform 1. Cleaned up promptly.,small oil spill near heat exchanger at offshore platform 1. cleaned up promptly.,{},NO,Confined Space,MEDIUM,reported to supervisor,colleague intervened,replaced equipment,,False
0b05bb92-8996-444a-a08f-3ddb8e98ab9e,Unsafe Act,,Unit A,,Pump,Small oil spill near Pump at Unit A. Cleaned up promptly.,small oil spill near pump at unit a. cleaned up promptly.,{},NO,Confined Space,LOW,stopped work,supervisor intervened,cleaned up,updated procedures,
1d832b3f-9699-4610-aa60-28371a76181d,Unsafe Act,,Refinery Sector 4,,Pump,Line opened with residual pressure on the Pump. High-energy release narrowly missed the operator.,line opened with residual pressure on the pump. high-energy release narrowly missed the operator.,{},YES,Pressure,HIGH,reported to supervisor,supervisor intervened,cleaned up,updated procedures,False
