report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source
2d3cca61-a67d-4b2e-9cbd-b7cd795d7828,Small oil spill near Compressor at Unit B. Cleaned up promptly.,Unsafe Act,NO,Electrical,MEDIUM,,,,,Unit B,Compressor,synthetic
45caa314-9cac-4f9a-827e-993f1acf9630,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic
7e2043d3-2fe3-4763-9099-8e91f0196269,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Unit A,Compressor,synthetic
c13d3981-1608-401e-a183-87c3f5cd9778,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit B,Heat Exchanger,synthetic
5f6e50b9-b26e-4e13-8692-32f52c990e5a,<div><p>Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.</p></div>,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic
1f1e9bd6-9103-4aec-bb54-66dedd767467,Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Unit B,Heat Exchanger,synthetic
22ef00f8-e716-4ba1-945e-d290ee47ffde,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,LOW,,,,,Offshore Platform 1,Pump,synthetic
08d67ead-01fa-46bb-9635-781d8adb8718,Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit A,Pump,synthetic
a7cd078a-d545-4e82-9366-011d59a15e82,Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Unit B,Compressor,synthetic
41138b63-c0aa-4cc5-b0eb-1987da5ad1f9,Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,Unsafe Act,NO,Electrical,LOW,,,,,Unit A,Electrical Panel,synthetic
65f7e501-1485-4d14-be80-e0352976bc5b,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic
20fce50c-a927-418e-be04-8b8ef832084e,Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Offshore Platform 1,Pump,synthetic
36807700-b178-4033-991d-6fd54ed726cc,<div><p>Worker used incorrect gloves for manual handling task. Supervisor corrected the action.</p></div>,Unsafe Act,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic
