report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source,immediate_action,intervention,corrective_action,preventive_action,work_stopped
41b618a5-8e8d-42a2-8d07-83153e22f963,[Oct 13] Report by W-5854: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,,colleague intervened,cleaned up,updated procedures,True
85990be9-7162-4a80-8de5-3f852764a4e0,[Oct 10] Report by W-7055: Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Refinery Sector 4,Compressor,synthetic,,colleague intervened,replaced equipment,retrained staff,True
640816d4-daa1-485b-9bc2-1e2466c6a657,[Oct 27] Report by W-5820: Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit B,Pump,synthetic,stopped work,supervisor intervened,cleaned up,retrained staff,True
17f02e1f-ec44-4404-aa1a-b76f0a6b6124,[Oct 5] Report by W-3495: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,colleague intervened,,retrained staff,False
e5b9ea91-2952-4a26-b826-ea9081e4bb67,[Oct 13] Report by W-9268: Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Working at Height,LOW,,,,,Offshore Platform 1,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,,
8c12be29-f97e-42ef-a17d-914f264f7495,[Oct 13] Report by W-9268: Small oil spill near Compressor at Offshore Platform 1. Cleaned up promptly.,Unsafe Act,NO,Working at Height,LOW,,,,,Offshore Platform 1,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,,
1f424a42-3acb-4a62-9a96-3709941973b3,[Oct 15] Report by W-4755: Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Unsafe Act,NO,Confined Space,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,colleague intervened,cleaned up,,
d36cd9a0-89da-4706-9226-9a83cb3c214e,[Oct 22] Report by W-1044: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Act,NO,Electrical,LOW,,,,,Unit A,Pump,synthetic,,supervisor intervened,replaced equipment,,True
5f2fede9-6500-466d-b63c-2c134ab1cc2a,[Oct 8] Report by W-4380: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,colleague intervened,cleaned up,,False
b402773f-8156-4a09-acc8-af0062be071d,[Oct 24] Report by W-9865: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Act,NO,Working at Height,LOW,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,supervisor intervened,replaced equipment,retrained staff,
b019e835-f9ed-452a-b157-f0fed62d9f5f,[Oct 8] Report by W-6635: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,,supervisor intervened,,updated procedures,False
75bcbaf6-616f-461e-8fd0-d6aacbcd96e0,[Oct 14] Report by W-1339: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,stopped work,colleague intervened,cleaned up,retrained staff,True
ce83936c-c3bf-41fb-b458-215970954db4,[Oct 11] Report by W-3042: Small oil spill near Heat Exchanger at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Energy Isolation,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,,updated procedures,
4a849b65-388d-4ae7-af98-22f1405ba704,[Oct 15] Report by W-9891: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Electrical,LOW,,,,,Offshore Platform 1,Compressor,synthetic,stopped work,,replaced equipment,retrained staff,True
86ce8ece-32eb-4604-8d71-e7d512a6d550,[Oct 25] Report by W-8123: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Unit B,Electrical Panel,synthetic,stopped work,,cleaned up,,
827198fd-3791-44c4-8434-0e70063e5e50,[Oct 22] Report by W-2512: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Offshore Platform 1,Compressor,synthetic,stopped work,colleague intervened,cleaned up,retrained staff,True
938c3063-d997-464f-b157-df145a295cbf,[Oct 28] Report by W-8650: Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,Unsafe Condition,NO,Slips/Trips,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic,,colleague intervened,replaced equipment,retrained staff,False
27f041f7-e107-476b-8f07-6195a7ea8729,[Oct 27] Report by W-2953: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Refinery Sector 4,Electrical Panel,synthetic,,colleague intervened,replaced equipment,updated procedures,False
34ad5171-0f4c-4b04-99e6-295b882ae987,[Oct 23] Report by W-5529: Small oil spill near Valve at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit B,Valve,synthetic,reported to supervisor,colleague intervened,,,
c1499b02-477b-4b13-942a-acf5b9d779ec,[Oct 14] Report by W-9144: Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,Unsafe Act,YES,Pressure,HIGH,,,,,Unit A,Electrical Panel,synthetic,,colleague intervened,replaced equipment,retrained staff,False
77bb1853-d05a-4f6e-8a58-61a673dae0d0,[Oct 12] Report by W-5141: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit A,Pump,synthetic,reported to supervisor,,replaced equipment,retrained staff,False
9a4ead10-fa33-4c04-b17f-57a0cbbc59d0,[Oct 23] Report by W-7469: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Electrical,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic,,supervisor intervened,,updated procedures,True
2b4017d8-6b49-4f1f-b9de-7133471c1f65,[Oct 9] Report by W-9957: Small oil spill near Compressor at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Compressor,synthetic,reported to supervisor,supervisor intervened,cleaned up,,
26550ed1-75bb-4c5f-aeb1-04aa5e895350,[Oct 26] Report by W-1716: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Working at Height,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,stopped work,colleague intervened,,updated procedures,False
bc2234e5-bacc-40f5-a59b-f1cfc8b81456,[Oct 4] Report by W-6826: Worker observed not wearing safety glasses at Unit B.,Unsafe Condition,NO,Confined Space,LOW,,,,,Unit B,Pump,synthetic,stopped work,,,updated procedures,False
9f9fb592-78b8-4756-8c82-f2272fec7ca0,[Oct 15] Report by W-7241: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Valve,synthetic,reported to supervisor,supervisor intervened,replaced equipment,updated procedures,
1faeceb5-d9f1-4ecf-b880-fdaaf87eb421,[Oct 24] Report by W-5317: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Manual Handling,LOW,,,,,Unit A,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,,False
7866cbe5-07d1-4a64-a90f-256a0818f0ca,[Oct 11] Report by W-3675: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Confined Space,LOW,,,,,Unit A,Electrical Panel,synthetic,stopped work,colleague intervened,replaced equipment,retrained staff,False
766bebd1-36c0-4a5e-92aa-823d29e69657,[Oct 26] Report by W-2711: Worker observed not wearing safety glasses at Unit A.,Unsafe Act,NO,Manual Handling,MEDIUM,,,,,Unit A,Heat Exchanger,synthetic,,,cleaned up,retrained staff,False
c2346623-02ef-4744-8ec9-50e37bb1c718,[Oct 3] Report by W-3987: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit A,Electrical Panel,synthetic,reported to supervisor,,,,False
33e9f2e1-d5c8-4942-ac38-3c49e0b66d3b,[Oct 3] Report by W-3987: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Unit A,Electrical Panel,synthetic,reported to supervisor,,,,False
17201eb2-651c-4340-af93-4212960a532a,[Oct 27] Report by W-3141: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Unit A,Pump,synthetic,,supervisor intervened,replaced equipment,retrained staff,True
07ded131-2827-41a5-920a-85aa95dc02c8,[Oct 28] Report by W-3148: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Act,NO,Electrical,LOW,,,,,Unit A,Pump,synthetic,,supervisor intervened,replaced equipment,updated procedures,
70da6b49-f710-463a-887c-c3a6405ed6a2,[Oct 17] Report by W-9944: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Heat Exchanger,synthetic,,colleague intervened,replaced equipment,,
fa37126b-3de2-439f-b1af-5ac9b7f33a6e,[Oct 18] Report by W-5823: Small oil spill near Compressor at Unit B. Cleaned up promptly.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Unit B,Compressor,synthetic,reported to supervisor,,cleaned up,updated procedures,
f4b8caac-cf59-40d3-8a1d-3449497eb7a5,"[Oct 5] Report by W-2976: While working at Refinery Sector 4, worker was at height without fall protection. Serious risk of fatal fall.",Near Miss,YES,Energy Isolation,CRITICAL,,,,,Refinery Sector 4,Electrical Panel,synthetic,stopped work,,cleaned up,retrained staff,False
346d057e-212f-4699-8865-7d6feb6dbe61,[Oct 16] Report by W-5871: Worker observed not wearing safety glasses at Unit B.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Valve,synthetic,,,replaced equipment,,
1e36cbc9-67ed-4bea-a969-c85d1403b340,[Oct 23] Report by W-7961: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Refinery Sector 4,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,cleaned up,retrained staff,
e744a156-5bda-4408-a7eb-73843e99a439,[Oct 18] Report by W-3826: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Condition,NO,Energy Isolation,LOW,,,,,Offshore Platform 1,Pump,synthetic,stopped work,colleague intervened,replaced equipment,updated procedures,
7678f875-6322-45a6-a862-195647826eee,[Oct 12] Report by W-3586: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Pressure,MEDIUM,,,,,Offshore Platform 1,Heat Exchanger,synthetic,,,,retrained staff,
33b48535-785c-4f66-b6b4-873c6299ee28,[Oct 28] Report by W-8360: Small oil spill near Valve at Unit B. Cleaned up promptly.,Unsafe Act,NO,Pressure,LOW,,,,,Unit B,Valve,synthetic,,,replaced equipment,retrained staff,
2f33cfc0-9317-4b52-908d-2f66d277e790,[Oct 12] Report by W-8325: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Pressure,LOW,,,,,Offshore Platform 1,Electrical Panel,synthetic,,,cleaned up,updated procedures,True
295b6a85-67e3-4442-afa6-dd35d176c943,[Oct 4] Report by W-2208: Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Electrical Panel,synthetic,stopped work,supervisor intervened,cleaned up,retrained staff,False
1e59dc55-a2fe-401d-ad45-4ae8d71bb5a8,[Oct 25] Report by W-1402: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,,,,retrained staff,True
521e68ff-b648-4d3a-8214-f59a50b1ca64,[Oct 25] Report by W-3488: Small oil spill near Compressor at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit B,Compressor,synthetic,stopped work,,,,
6fa7aa81-992b-4069-8922-efa15dd6983f,[Oct 10] Report by W-2113: Trip hazard due to loose cables near Pump. Cables were immediately organized.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Refinery Sector 4,Pump,synthetic,,supervisor intervened,replaced equipment,,True
e1828bea-6ab9-47b3-959f-5c30b37be692,[Oct 19] Report by W-2888: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic,reported to supervisor,supervisor intervened,,retrained staff,True
b680f57f-ca64-44ba-9ee7-5634ed0b88e5,[Oct 19] Report by W-2888: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Offshore Platform 1,Valve,synthetic,reported to supervisor,supervisor intervened,,retrained staff,True
54ec26eb-c912-4656-afdf-8829ee19ab68,[Oct 23] Report by W-9308: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Condition,NO,Electrical,LOW,,,,,Unit B,Compressor,synthetic,reported to supervisor,colleague intervened,replaced equipment,retrained staff,
db156760-4dad-4909-9a46-fe48d16f4db4,[Oct 4] Report by W-5152: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Pressure,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,reported to supervisor,,replaced equipment,retrained staff,False
73ad6f64-06b8-4731-b1bc-a533773c1883,[Oct 10] Report by W-7391: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Condition,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,,supervisor intervened,,,False
b01dc774-c898-497e-9545-9ec5301098cd,[Oct 13] Report by W-7041: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Working at Height,LOW,,,,,Unit A,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,cleaned up,,True
9f401efa-0724-4199-a5e5-3da9ed21a037,<div><p>[Oct 8] Report by W-5684: Trip hazard due to loose cables near Valve. Cables were immediately organized.</p></div>,Unsafe Act,NO,Confined Space,LOW,,,,,Unit B,Valve,synthetic,stopped work,,replaced equipment,,
407fa3dc-8984-4e1f-a2b0-8778141364e4,[Oct 6] Report by W-5425: Small oil spill near Valve at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,LOW,,,,,Unit B,Valve,synthetic,,colleague intervened,replaced equipment,retrained staff,True
7bba35f9-0ecc-4946-851f-ca9f888044a9,[Oct 24] Report by W-3629: Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Unsafe Act,NO,Pressure,LOW,,,,,Refinery Sector 4,Electrical Panel,synthetic,stopped work,colleague intervened,replaced equipment,updated procedures,
10c2b868-8acc-482e-b45c-372c412d95f3,[Oct 6] Report by W-2313: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Energy Isolation,LOW,,,,,Refinery Sector 4,Valve,synthetic,,,cleaned up,retrained staff,False
