report_id,report_text,report_type,sif_label,hazard_category,severity,unsafe_act,unsafe_condition,potential_consequence,failed_control,location,equipment,source,immediate_action,intervention,corrective_action,preventive_action,work_stopped,report_text_clean
e6cee176-0a50-436e-940a-bb4c765c7915,[Oct 6] Report by W-1247: Small oil spill near Pump at Unit B. Cleaned up promptly.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Unit B,Pump,synthetic,reported to supervisor,,cleaned up,retrained staff,True,[Oct 6] Report by W-1247: Small oil spill near Pump at Unit B. Cleaned up promptly.
bf1e3f4b-f2c5-4b40-824b-c4eb9c8f1899,[Oct 21] Report by W-4680: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Energy Isolation,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,stopped work,colleague intervened,cleaned up,,False,[Oct 21] Report by W-4680: Worker observed not wearing safety glasses at Offshore Platform 1.
07f41649-6c15-4d4d-8e8c-6fc46d7d38a7,[Oct 25] Report by W-2501: Worker observed not wearing safety glasses at Refinery Sector 4.,Unsafe Condition,NO,Pressure,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,reported to supervisor,supervisor intervened,,retrained staff,False,[Oct 25] Report by W-2501: Worker observed not wearing safety glasses at Refinery Sector 4.
a0062fc6-a7fc-49f3-93de-bf65d4a191b8,[Oct 7] Report by W-4796: Trip hazard due to loose cables near Valve. Cables were immediately organized.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit A,Valve,synthetic,,colleague intervened,cleaned up,updated procedures,True,[Oct 7] Report by W-4796: Trip hazard due to loose cables near Valve. Cables were immediately organized.
766478b2-b09e-4223-90f1-973390354fbd,[Oct 7] Report by W-5706: Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Refinery Sector 4,Compressor,synthetic,stopped work,colleague intervened,replaced equipment,,False,[Oct 7] Report by W-5706: Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.
6e15592a-273a-4663-94e7-57475f5ef444,[Oct 4] Report by W-3801: Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Manual Handling,MEDIUM,,,,,Unit B,Heat Exchanger,synthetic,stopped work,,,retrained staff,False,[Oct 4] Report by W-3801: Small oil spill near Heat Exchanger at Unit B. Cleaned up promptly.
f4eb43af-e983-4efb-b268-51acbc4f67b3,[Oct 13] Report by W-1106: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Act,NO,Pressure,LOW,,,,,Unit B,Heat Exchanger,synthetic,stopped work,supervisor intervened,cleaned up,,,[Oct 13] Report by W-1106: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
053ee53f-1c8f-444a-835f-bf5a591960b4,[Oct 10] Report by W-1916: Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Unsafe Act,NO,Slips/Trips,LOW,,,,,Unit B,Compressor,synthetic,reported to supervisor,colleague intervened,,retrained staff,False,[Oct 10] Report by W-1916: Trip hazard due to loose cables near Compressor. Cables were immediately organized.
b1b291ff-d7bf-4068-81dd-ab35abe9065e,[Oct 23] Report by W-4692: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Condition,NO,Working at Height,LOW,,,,,Refinery Sector 4,Heat Exchanger,synthetic,stopped work,,replaced equipment,updated procedures,True,[Oct 23] Report by W-4692: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
407fa3dc-8984-4e1f-a2b0-8778141364e4,[Oct 6] Report by W-5425: Small oil spill near Valve at Unit B. Cleaned up promptly.,Unsafe Condition,NO,Confined Space,LOW,,,,,Unit B,Valve,synthetic,,colleague intervened,replaced equipment,retrained staff,True,[Oct 6] Report by W-5425: Small oil spill near Valve at Unit B. Cleaned up promptly.
3be7ad0b-59e4-40e1-a2b8-c5f6b27e5308,[Oct 11] Report by W-2982: Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Slips/Trips,MEDIUM,,,,,Unit A,Electrical Panel,synthetic,stopped work,supervisor intervened,,,True,[Oct 11] Report by W-2982: Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.
9da79dbf-a85d-4feb-9765-37fe20a23238,[Oct 20] Report by W-8929: Small oil spill near Pump at Unit A. Cleaned up promptly.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Pump,synthetic,reported to supervisor,colleague intervened,cleaned up,retrained staff,False,[Oct 20] Report by W-8929: Small oil spill near Pump at Unit A. Cleaned up promptly.
ade8e85e-8aaf-4c10-a54f-657731d1b4f6,[Oct 14] Report by W-9935: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.,Unsafe Act,NO,Pressure,LOW,,,,,Offshore Platform 1,Heat Exchanger,synthetic,stopped work,supervisor intervened,,retrained staff,,[Oct 14] Report by W-9935: Trip hazard due to loose cables near Heat Exchanger. Cables were immediately organized.
113e2a07-fe3c-40a9-9bb6-0f3a90e6e6f4,[Oct 9] Report by W-5218: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Unsafe Condition,NO,Electrical,MEDIUM,,,,,Unit A,Electrical Panel,synthetic,reported to supervisor,colleague intervened,cleaned up,,,[Oct 9] Report by W-5218: Worker used incorrect gloves for manual handling task. Supervisor corrected the action.
e43e64a5-ff44-496f-b436-49cff4ac829f,[Oct 7] Report by W-8680: Worker observed not wearing safety glasses at Offshore Platform 1.,Unsafe Act,NO,Confined Space,MEDIUM,,,,,Offshore Platform 1,Electrical Panel,synthetic,stopped work,colleague intervened,replaced equipment,retrained staff,,[Oct 7] Report by W-8680: Worker observed not wearing safety glasses at Offshore Platform 1.
042264c6-9b9c-4fe5-9ded-3d87365db305,[Oct 3] Report by W-7321: Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Unsafe Act,NO,Manual Handling,LOW,,,,,Unit B,Electrical Panel,synthetic,stopped work,colleague intervened,cleaned up,updated procedures,False,[Oct 3] Report by W-7321: Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.
